epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2652.42,0.30475,0.21082,0.79547,0.9935,0.99605,0.99386,0.97603,0.25982,0.17816,0.78625,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,2732.52,0.30313,0.21006,0.79431,0.99211,0.99601,0.99341,0.97278,0.25776,0.1768,0.78922,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,2814.66,0.30215,0.20874,0.79556,0.9921,0.98856,0.99315,0.97818,0.25628,0.17746,0.78679,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,2893.16,0.30111,0.20602,0.79557,0.9916,0.99817,0.99353,0.97713,0.25271,0.17129,0.78827,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,2970.59,0.29782,0.2049,0.79486,0.9864,0.99909,0.99456,0.97511,0.25025,0.17202,0.78626,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,3041.9,0.29785,0.20326,0.79495,0.99257,0.99591,0.99436,0.97744,0.25076,0.1637,0.78519,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,3113.29,0.29469,0.20304,0.79449,0.98619,0.9965,0.99428,0.97749,0.25006,0.17537,0.78806,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,3184.73,0.29472,0.20292,0.79611,0.99168,0.99693,0.9942,0.97703,0.24833,0.16675,0.78512,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,3255.52,0.29483,0.20006,0.79452,0.99145,0.99616,0.9942,0.97608,0.24942,0.16702,0.78551,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,3325.86,0.29373,0.20245,0.79565,0.98579,0.99595,0.99432,0.97575,0.24267,0.16082,0.78559,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,3397.4,0.29034,0.19964,0.79361,0.98751,0.99531,0.99409,0.97319,0.24905,0.16494,0.78669,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,3467.78,0.29,0.1961,0.79127,0.99092,0.99678,0.99382,0.97707,0.2479,0.16983,0.78631,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,3537.67,0.28855,0.19759,0.79533,0.99231,0.99604,0.99375,0.97554,0.2498,0.16537,0.78465,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,3608.06,0.28669,0.19613,0.79237,0.99197,0.99629,0.99366,0.9768,0.24126,0.16036,0.78514,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,3679.2,0.28804,0.19423,0.79362,0.99221,0.99611,0.9941,0.97913,0.24341,0.15941,0.78266,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,3750.75,0.28521,0.19302,0.79151,0.98981,0.99671,0.99208,0.97914,0.23998,0.16282,0.78491,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,3823.15,0.28517,0.194,0.79362,0.99289,0.99605,0.99378,0.97982,0.23804,0.1539,0.78777,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,3893.17,0.28328,0.19252,0.79221,0.99415,0.99454,0.99413,0.97688,0.24439,0.15977,0.7859,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,3963.39,0.28256,0.19239,0.79107,0.99466,0.99648,0.99345,0.97697,0.23984,0.15901,0.78595,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,4035.67,0.28425,0.19203,0.79267,0.99295,0.99591,0.9939,0.9757,0.24224,0.16098,0.78409,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,4110.52,0.28019,0.1866,0.79222,0.99339,0.9961,0.99399,0.9781,0.24525,0.1585,0.78505,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,4181.01,0.28141,0.18816,0.79332,0.98626,0.99796,0.99422,0.97912,0.2383,0.15758,0.78134,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4251.72,0.2794,0.18826,0.79154,0.9918,0.99129,0.99426,0.98042,0.23544,0.15824,0.78206,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4324.33,0.28001,0.18755,0.79146,0.99382,0.99661,0.99401,0.97876,0.24504,0.16112,0.78386,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,4396.58,0.27757,0.18534,0.79005,0.99088,0.99724,0.99414,0.98095,0.2374,0.15271,0.78428,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,4466.67,0.27487,0.1863,0.79128,0.9923,0.99646,0.99412,0.98023,0.23709,0.15365,0.78439,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4536.9,0.27421,0.18186,0.78931,0.99101,0.99641,0.99434,0.98245,0.23322,0.14861,0.78197,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,4607.24,0.2724,0.18168,0.79003,0.99384,0.99662,0.99413,0.98071,0.23534,0.14974,0.78208,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,4678.48,0.27134,0.18071,0.78885,0.99123,0.99572,0.99423,0.98024,0.23394,0.14841,0.78376,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,4765.19,0.27076,0.18079,0.79104,0.98402,0.99726,0.99426,0.98132,0.23164,0.15219,0.78518,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,4854.37,0.27179,0.17998,0.79057,0.99098,0.99697,0.99415,0.97998,0.23564,0.15461,0.78259,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,4941.29,0.27068,0.1789,0.7921,0.99277,0.99727,0.99403,0.98133,0.2337,0.14872,0.78056,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,5023.69,0.27272,0.18165,0.78841,0.99559,0.99436,0.99461,0.98139,0.2314,0.1469,0.78148,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,5103.85,0.26816,0.17572,0.78948,0.99305,0.99749,0.99439,0.98136,0.23156,0.14639,0.78328,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,5182.89,0.26922,0.17677,0.78933,0.99102,0.99929,0.99425,0.98201,0.23277,0.14645,0.78499,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,5264.7,0.26691,0.17523,0.78828,0.99409,0.99715,0.99447,0.98167,0.2343,0.14656,0.78616,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,5343.25,0.26837,0.1766,0.78983,0.99316,0.99617,0.99427,0.98242,0.23088,0.14574,0.78722,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,5422.22,0.26633,0.17585,0.79003,0.9939,0.99543,0.99432,0.98267,0.22683,0.14368,0.78682,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
