epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
139,10424.7,0.22121,0.13366,0.78136,0.99092,0.99355,0.99445,0.98276,0.21792,0.1308,0.78073,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
140,10494.8,0.22151,0.133,0.78264,0.99105,0.99361,0.99447,0.98281,0.21774,0.13119,0.78047,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826,0.002478,0.000826
141,10565.6,0.19594,0.11799,0.76719,0.99092,0.99362,0.99443,0.9829,0.21782,0.13136,0.78038,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
142,10637.8,0.19474,0.11731,0.76442,0.99098,0.99376,0.99436,0.98325,0.21806,0.13085,0.7806,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
143,10709.6,0.19268,0.11601,0.76858,0.99104,0.9938,0.99436,0.98315,0.21818,0.13058,0.7807,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628,0.001884,0.000628
144,10781.1,0.192,0.11509,0.76716,0.99117,0.99384,0.99438,0.98341,0.21835,0.13171,0.78083,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562,0.001686,0.000562
145,10852.7,0.19,0.11335,0.76523,0.99131,0.99389,0.99437,0.98321,0.21796,0.13222,0.78083,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
146,10920.9,0.19025,0.113,0.76575,0.99143,0.99395,0.99441,0.98277,0.21822,0.13162,0.78063,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
147,10989.5,0.18801,0.1116,0.76515,0.99157,0.99401,0.99444,0.9827,0.21839,0.13141,0.78054,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364,0.001092,0.000364
148,11054.3,0.187,0.11018,0.76556,0.99173,0.99407,0.99443,0.98304,0.2184,0.12984,0.78032,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
149,11123.4,0.18631,0.10967,0.76298,0.99179,0.99409,0.99445,0.98303,0.21807,0.12998,0.78017,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232,0.000696,0.000232
150,11193.4,0.1851,0.10837,0.76373,0.99186,0.9941,0.99444,0.98255,0.21803,0.12945,0.78009,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166,0.000498,0.000166
